,precision,recall,f1-score,support,chain_level
Problem/Fault,0.6923076923076923,0.6923076923076923,0.6923076923076923,13.0,Level_1
Suggestion,0.8,0.8,0.8,20.0,Level_1
accuracy,0.7575757575757576,0.7575757575757576,0.7575757575757576,0.7575757575757576,Level_1
macro avg,0.7461538461538462,0.7461538461538462,0.7461538461538462,33.0,Level_1
weighted avg,0.7575757575757576,0.7575757575757576,0.7575757575757576,33.0,Level_1
Problem/Fault_AppGallery-Install/Upgrade,0.25,0.3333333333333333,0.2857142857142857,3.0,Level_2
Problem/Fault_AppGallery-Use,0.5,0.5,0.5,2.0,Level_2
Problem/Fault_Coupon/Gifts/Points Issues,0.75,0.75,0.75,4.0,Level_2
Problem/Fault_General,0.0,0.0,0.0,2.0,Level_2
Problem/Fault_Payment issue,0.0,0.0,0.0,0.0,Level_2
Problem/Fault_Third Party APPs,1.0,1.0,1.0,2.0,Level_2
Suggestion_AppGallery-Use,0.0,0.0,0.0,1.0,Level_2
Suggestion_General,0.25,0.3333333333333333,0.2857142857142857,3.0,Level_2
Suggestion_Invoice,0.0,0.0,0.0,1.0,Level_2
Suggestion_Payment,1.0,0.9285714285714286,0.9629629629629629,14.0,Level_2
Suggestion_VIP / Offers / Promotions,0.3333333333333333,1.0,0.5,1.0,Level_2
accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,Level_2
macro avg,0.37121212121212116,0.44047619047619047,0.38949013949013944,33.0,Level_2
weighted avg,0.6616161616161615,0.6666666666666666,0.6574474907808241,33.0,Level_2
Problem/Fault_AppGallery-Install/Upgrade_Can't install Apps,0.0,0.0,0.0,1.0,Level_3
Problem/Fault_AppGallery-Install/Upgrade_Other download/install/update issue,0.0,0.0,0.0,2.0,Level_3
Problem/Fault_AppGallery-Use_UI Abnormal in Huawei AppGallery,0.5,0.5,0.5,2.0,Level_3
Problem/Fault_Coupon/Gifts/Points Issues_Can't use or acquire,0.5,1.0,0.6666666666666666,2.0,Level_3
Problem/Fault_Coupon/Gifts/Points Issues_Cooperated campaign issue,0.0,0.0,0.0,2.0,Level_3
Problem/Fault_General_AppGallery not loading,0.0,0.0,0.0,1.0,Level_3
Problem/Fault_General_Cannot connect - Server,0.0,0.0,0.0,1.0,Level_3
Problem/Fault_Payment issue_Payment failed,0.0,0.0,0.0,0.0,Level_3
Problem/Fault_Third Party APPs_Refund,1.0,1.0,1.0,2.0,Level_3
Suggestion_AppGallery-Use_Others,0.0,0.0,0.0,1.0,Level_3
Suggestion_General_Others,0.0,0.0,0.0,1.0,Level_3
Suggestion_General_Personal data,0.3333333333333333,0.5,0.4,2.0,Level_3
Suggestion_Invoice_Invoice related request,0.0,0.0,0.0,1.0,Level_3
Suggestion_Payment_Query deduction details,0.0,0.0,0.0,2.0,Level_3
Suggestion_Payment_Subscription cancellation,0.9,0.75,0.8181818181818182,12.0,Level_3
Suggestion_VIP / Offers / Promotions_Offers / Vouchers / Promotions,0.3333333333333333,1.0,0.5,1.0,Level_3
accuracy,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.48484848484848486,Level_3
macro avg,0.22291666666666665,0.296875,0.2428030303030303,33.0,Level_3
weighted avg,0.4787878787878788,0.48484848484848486,0.4682277318640955,33.0,Level_3
