,precision,recall,f1-score,support,chain_level
Problem/Fault,0.6666666666666666,0.9230769230769231,0.7741935483870968,13.0,Level_1
Suggestion,0.9333333333333333,0.7,0.8,20.0,Level_1
accuracy,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878,Level_1
macro avg,0.8,0.8115384615384615,0.7870967741935484,33.0,Level_1
weighted avg,0.8282828282828284,0.7878787878787878,0.7898338220918866,33.0,Level_1
Problem/Fault_AppGallery-Install/Upgrade,0.5,0.3333333333333333,0.4,3.0,Level_2
Problem/Fault_AppGallery-Use,0.3333333333333333,0.5,0.4,2.0,Level_2
Problem/Fault_Coupon/Gifts/Points Issues,0.75,0.75,0.75,4.0,Level_2
Problem/Fault_General,0.0,0.0,0.0,2.0,Level_2
Problem/Fault_Payment issue,0.0,0.0,0.0,0.0,Level_2
Problem/Fault_Third Party APPs,0.25,0.5,0.3333333333333333,2.0,Level_2
Suggestion_AppGallery-Use,0.5,1.0,0.6666666666666666,1.0,Level_2
Suggestion_General,0.4,0.6666666666666666,0.5,3.0,Level_2
Suggestion_Invoice,0.0,0.0,0.0,1.0,Level_2
Suggestion_Payment,1.0,0.6428571428571429,0.782608695652174,14.0,Level_2
Suggestion_VIP / Offers / Promotions,1.0,1.0,1.0,1.0,Level_2
accuracy,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,Level_2
macro avg,0.4303030303030303,0.4902597402597403,0.4393280632411067,33.0,Level_2
weighted avg,0.6777777777777778,0.5757575757575758,0.5996925779534475,33.0,Level_2
Problem/Fault_AppGallery-Install/Upgrade_Can't install Apps,0.0,0.0,0.0,1.0,Level_3
Problem/Fault_AppGallery-Install/Upgrade_Other download/install/update issue,1.0,0.5,0.6666666666666666,2.0,Level_3
Problem/Fault_AppGallery-Use_UI Abnormal in Huawei AppGallery,0.3333333333333333,0.5,0.4,2.0,Level_3
Problem/Fault_Coupon/Gifts/Points Issues_Can't use or acquire,0.6666666666666666,1.0,0.8,2.0,Level_3
Problem/Fault_Coupon/Gifts/Points Issues_Cooperated campaign issue,0.0,0.0,0.0,2.0,Level_3
Problem/Fault_General_AppGallery not loading,0.0,0.0,0.0,1.0,Level_3
Problem/Fault_General_Cannot connect - Server,0.0,0.0,0.0,1.0,Level_3
Problem/Fault_Payment issue_Payment failed,0.0,0.0,0.0,0.0,Level_3
Problem/Fault_Payment issue_Risk Control,0.0,0.0,0.0,0.0,Level_3
Problem/Fault_Third Party APPs_Refund,0.3333333333333333,0.5,0.4,2.0,Level_3
Suggestion_AppGallery-Use_Others,0.5,1.0,0.6666666666666666,1.0,Level_3
Suggestion_General_Others,0.0,0.0,0.0,1.0,Level_3
Suggestion_General_Personal data,0.25,0.5,0.3333333333333333,2.0,Level_3
Suggestion_Invoice_Invoice related request,0.0,0.0,0.0,1.0,Level_3
Suggestion_Payment_Query deduction details,0.0,0.0,0.0,2.0,Level_3
Suggestion_Payment_Subscription cancellation,0.8,0.3333333333333333,0.47058823529411764,12.0,Level_3
Suggestion_Refund_Within 14 days of purchase (not product issue),0.0,0.0,0.0,0.0,Level_3
Suggestion_VIP / Offers / Promotions_Offers / Vouchers / Promotions,1.0,1.0,1.0,1.0,Level_3
accuracy,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,Level_3
macro avg,0.27129629629629626,0.2962962962962963,0.26318082788671027,33.0,Level_3
weighted avg,0.4929292929292929,0.36363636363636365,0.3792038027332145,33.0,Level_3
